,Primary Street,Dir,Cross Street,Type,Dist,Count Date,Day,W/B,E/B,N/B,S/B,Total,coordinates
151,37 th ST,AT,BARBARA ST,AUTO,SR,June 30 2013,SUN,728.0,552.0,0.0,0.0,1280.0,"(33.7139178, -118.3046106)"
152,37 th ST,AT,BARBARA ST,AUTO,SR,June 28 2013,FRI,839.0,523.0,0.0,0.0,1362.0,"(33.7139178, -118.3046106)"
153,37 th ST,AT,BARBARA ST,AUTO,SR,June 29 2013,SAT,875.0,573.0,0.0,0.0,1448.0,"(33.7139178, -118.3046106)"
154,37 th ST,AT,WESTERN AV,MAN,CR,May 11 2011,WED,1429.0,1488.0,,,2916.0,"(34.0209792, -118.3089165)"
155,37 th ST,AT,WESTERN AV,AUTO,CR,January 08 2013,TUE,4398.0,5131.0,0.0,0.0,9529.0,"(34.0209792, -118.3089165)"
156,38 th PL,AT,WESTERN AV,AUTO,SR,March 03 2014,MON,1534.0,531.0,0.0,0.0,2065.0,"(34.0164412, -118.3089206)"
157,38 th PL ,AT,HOBART BL,AUT,SR,April 16 2013,TUE,1037.0,861.0,0.0,0.0,1898.0,"(34.0164423, -118.3077996)"
158,38 th ST,AT,PACIFIC AV,MAN,SR,August 13 2013,TUE,169.0,322.0,,0.0,491.0,"(33.7096376, -118.2879488)"
159,39 th ST,AT,CRENSHAW BL,MAN,CR,June 07 2011,TUE,362.0,884.0,,,1246.0,"(34.0146161, -118.3347186)"
160,39 th ST,AT,3 rd ST,AUTO,CR,July 06 2011,WED,543.0,1089.0,,,1632.0,"(34.033074, -118.160338)"
161,3rd ST,BTWN,BROADWAY AND SPRING ST,AUTO,CR,April 24 2014,THU,21235.0,0.0,0.0,0.0,21235.0,"(34.0496278, -118.2478878)"
162,3rd ST,AT,GRAMERCY PL,AUTO,HW,May 06 2014,TUE,14357.0,16494.0,0.0,0.0,30851.0,"(34.0689736, -118.312853)"
163,4 th AV,AT,62 nd ST,AUTO,SR,March 27 2014,THU,0.0,0.0,323.0,277.0,600.0,"(33.9836629, -118.3216088)"
164,4 th AV,AT,17 th ST,AUTO,HW,September 10 2013,TUE,0.0,0.0,1935.0,2005.0,3940.0,"(34.0418214, -118.3212928)"
165,4 th AV,AT,17 th ST,MAN,HW,September 26 2013,THU,0.0,0.0,2211.0,2294.0,4505.0,"(34.0418214, -118.3212928)"
166,4 th ST,AT,GAFFEY ST,MAN,SR,March 26 2013,TUE,268.0,190.0,0.0,0.0,458.0,"(33.7405973, -118.292399)"
167,4 th ST,AT,GAFFEY ST,AUTO,SR,March 26 2013,TUE,563.0,533.0,0.0,0.0,1096.0,"(33.7405973, -118.292399)"
168,4 th ST,AT,PACIFIC AV,AUTO,SR,April 07 2014,MON,494.0,691.0,0.0,0.0,1185.0,"(34.0270976, -118.4087677)"
169,4 th ST,AT,HIGHLAND AV,AUTO,CR,July 07 2011,THU,575.0,1010.0,,,1585.0,"(34.0345896, -118.1974949)"
170,4 th ST,AT,VAN NESS AV,MAN,HW,April 08 2014,TUE,1065.0,618.0,0.0,0.0,1683.0,"(33.9674702, -118.3177593)"
171,4 th ST,AT,MAIN ST,AUTO,SR,January 26 2011,WED,1595.0,1783.0,,,3378.0,"(34.0481344, -118.2472237)"
172,4 th ST,AT,ROSSMORE AV,AUTO,CR,January 05 2011,WED,4439.0,,,,4439.0,"(34.0699098, -118.3268349)"
173,4 th ST,AT,NEW HAMPSHIRE AV,AUTO,CR,January 11 2011,TUE,4140.0,4500.0,,,8640.0,"(34.0702458, -118.2933019)"
174,4 th ST,AT,MESA ST,AUTO,SR,January 26 2011,WED,3662.0,5171.0,,,8833.0,"(33.73784, -118.285861)"
175,4 th ST,AT,NORTON AV,MAN,CR,December 07 2011,WED,15630.0,,,,15630.0,"(34.0671465, -118.3173118)"
176,4 th ST   ( ONE WAY ),W/O,FLOWER ST,AUTO,SR,January 26 2011,WED,2579.0,3168.0,,,5747.0,"(34.0529341, -118.2548424)"
177,"4 th ST   ramp ""B""",AT,4 th ST ACCESS RAMP  EB only,AUTO,SR,February 03 2011,MON,6858.0,7962.0,,,14820.0,"(34.0345306, -118.1977956)"
178,"4 th ST  ramp ""A""",E/O,FLOWER ST  WB only,AUTO,SR,February 07 2011,MON,6247.0,6811.0,,,13058.0,"(34.036464, -118.2692076)"
179,41 st DR,W/O,HOOVER ST,AUTO,CR,May 14 2013,TUE,330.0,330.0,0.0,0.0,660.0,"(34.0082873, -118.2872359)"
180,41 st DR,W/O,HOOVER ST,AUTO,CR,May 15 2013,WED,341.0,541.0,0.0,0.0,882.0,"(34.0082873, -118.2872359)"
181,41 st DR,W/O,HOOVER ST,AUTO,CR,May 16 2013,THU,350.0,648.0,0.0,0.0,998.0,"(34.0082873, -118.2872359)"
